set,book,pattern,newB
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
01,0000,1,1111
